Politician,Issuer,PublishedDate,TradedDate,DaysAfter,Owner,Type,SizeRange,Price
Ro KhannaDemocratHouseCA,Marsh & McLennan Companies IncMMC:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$191.32
Ro KhannaDemocratHouseCA,Becton Dickinson and CoBDX:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$240.47
Ro KhannaDemocratHouseCA,DEERE & COMPANYDE:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$393.35
Ro KhannaDemocratHouseCA,Stryker CorpSYK:US,7 Feb2024,3 Jan2024,days33,Spouse,buy,1K–15K,$293.94
Ro KhannaDemocratHouseCA,Microsoft CorpMSFT:US,7 Feb2024,31 Jan2024,days5,Spouse,sell,1K–15K,$397.58
Ro KhannaDemocratHouseCA,KKR & Co IncKKR:US,7 Feb2024,25 Jan2024,days11,Spouse,sell,1K–15K,$85.35
Ro KhannaDemocratHouseCA,Alphabet IncGOOGL:US,7 Feb2024,24 Jan2024,days12,Spouse,sell,1K–15K,$148.70
Ro KhannaDemocratHouseCA,Truist Financial CorpTFC:US,7 Feb2024,31 Jan2024,days5,Spouse,sell,1K–15K,$37.06
Ro KhannaDemocratHouseCA,ELT ASSOCIATES LLCN/A,7 Feb2024,1 Feb2024,days4,Child,buy,500K–1M,N/A
Ro KhannaDemocratHouseCA,ALABAMA FEDERAL AID HIGHWAY FINANCE AUTHORITYN/A,7 Feb2024,24 Jan2024,days12,Child,buy,100K–250K,N/A
